Seq,DatabaseValue,DisplayValue
3100,3100-Site Clearing,3100-Site Clearing
3120,3120-Earth Moving,3120-Earth Moving
3212,3212-Flexible Paving,3212-Flexible Paving
3213,3213-Rigid Paving,3213-Rigid Paving
3216,3216-Curbs and Gutters,3216-Curbs and Gutters
3217,3217-Paving Specialties,3217-Paving Specialties
3231,3231-Fence and Gates,3231-Fence and Gates
3232,3232-Retaining Walls,3232-Retaining Walls
3234,3234-Fabricated Bridges,3234-Fabricated Bridges
3280,3280-Landscape Irrigation,3280-Landscape Irrigation
3290,3290-Landscaping Planting,3290-Landscaping Planting
3305,3305-Utility Pipe - DI/PVC/WSP,3305-Utility Pipe - DI/PVC/WSP
3310,3310-Utilities Water,3310-Utilities Water
3311,3311-Water Wells/Pumps,3311-Water Wells/Pumps
3314,3314-Water Distribution,3314-Water Distribution
3316,3316-Water Storage Tanks,3316-Water Storage Tanks
3331,3331-Sanitary Sewer Piping,3331-Sanitary Sewer Piping
3332,3332-Sanitary Sewer Equipment,3332-Sanitary Sewer Equipment
3334,3334-Septic System,3334-Septic System
3341,3341-Stormwater Subdrainage,3341-Stormwater Subdrainage
3342,3342-Stormwater Conveyance,3342-Stormwater Conveyance
3370,3370-Electrical Utilities,3370-Electrical Utilities
3470,3470-Transportation Trucking,3470-Transportation Trucking
4122,4122-Cranes and Hoists,4122-Cranes and Hoists
4621,4621-Screening Equipment,4621-Screening Equipment
4631,4631-Chem Feed Equipment,4631-Chem Feed Equipment
4661,4661-Filtration Equipment,4661-Filtration Equipment
